//X;Y;Z;R;G;B;Scalar field;Illuminance (PCV)
-7.301207542;1.890910625;14.972045898;79;95;131;0.276641;0.737288
-8.548630714;2.208115339;19.968669891;126;140;169;0.195615;0.783898
-9.614944458;-6.744880199;13.875349045;239;231;244;0.276641;0.872881
-10.221369743;-5.734517097;12.192565918;222;228;240;0.195615;0.868644
-2.433083057;3.485840797;17.348503113;216;223;242;0.618588;0.877119
-15.487050056;-1.909344554;16.989749908;162;166;167;0.437408;0.911017
-11.168253899;-5.664647102;11.580719948;49;52;93;0.276641;0.822034
-8.351006508;1.591382623;20.661186218;106;119;163;0.479156;0.720339
-13.827089310;-9.429036140;17.445255280;157;163;175;0.195615;0.860169
-10.730774879;1.429327250;18.073797226;120;143;184;0.586844;0.906780
-5.473348618;1.594884396;13.542559624;88;100;122;0.195615;0.868644
-8.045757294;0.139188766;20.467023849;71;74;89;0.391230;0.809322
-7.473549366;-4.956738472;16.814601898;250;250;248;0.852665;0.915254
-1.313467026;5.083159924;16.414503098;117;123;155;0.391230;0.834746
-3.039227962;-7.928038597;14.030121803;163;174;192;0.276641;0.855932
-10.734384537;-1.093652129;15.734443665;94;107;141;0.276641;0.894068
-8.667688370;-5.040623665;20.049629211;163;161;183;0.997444;0.877119
-7.203763008;-5.554862022;11.111685753;196;199;214;0.195615;0.809322
-15.477473259;2.580435276;16.579788208;83;82;124;0.437408;0.881356
-1.829378843;-7.841748238;13.719472885;126;131;151;0.276641;0.864407
-12.921615601;-5.269172668;21.407314301;59;68;77;0.874816;0.919492
-8.437429428;-3.801911354;11.178400993;196;201;230;0.391230;0.830508
-5.036186218;-5.503560543;12.745910645;96;100;112;0.276641;0.843220
-15.992609024;0.785722971;15.641132355;205;209;238;0.978074;0.898305
-9.560677528;-0.046213627;20.320163727;146;135;151;0.437408;0.788136
-3.736922264;3.507598877;16.534776688;42;36;50;0.618588;0.826271
-12.807689667;-6.302234173;14.483637810;19;21;34;0.195615;0.894068
-10.066715240;-3.126809597;9.928221703;4;4;6;0.195615;0.817797
-9.183965683;1.630188346;20.701026917;121;123;135;0.338815;0.902542
-4.041794777;-0.261575222;9.866826057;123;122;164;0.195615;0.872881
-4.995344162;3.413353682;11.760271072;112;116;145;0.195615;0.877119
-7.883304119;-4.522837639;11.257463455;128;119;146;0.195615;0.838983
-11.918843269;4.857299328;15.749084473;118;124;136;0.479156;0.847458
-12.797082901;-9.056378365;16.274126053;158;154;171;0.731924;0.915254
-13.403549194;-8.224856377;17.496433258;169;179;214;0.479156;0.923729
-7.490035057;1.876303077;15.236474991;93;88;108;0.276641;0.809322
-4.666370392;3.821481943;16.175796509;251;242;243;0.731924;0.834746
-9.697566986;-2.943028212;11.093679428;212;214;226;0.731924;0.881356
-4.658348560;-6.185466766;14.356381416;141;136;168;0.731924;0.877119
-12.227411270;-2.700966358;15.991199493;77;95;133;0.276641;0.843220
-4.206677437;1.826117039;17.048696518;146;160;197;0.391230;0.864407
-13.617734909;-3.105204105;12.030699730;117;139;196;0.195615;0.864407
-13.943506241;-6.061245918;21.540401459;186;190;219;0.648781;0.966102
-7.001571178;-1.361291885;8.965835571;168;178;205;0.195615;0.855932
-13.086666107;-1.713237762;14.907608986;149;125;159;0.553282;0.877119
-11.708544731;0.193669081;6.844068527;142;139;150;0.276641;0.885593
-9.552342415;-6.276557922;19.384754181;183;181;203;0.437408;0.923729
-8.078317642;2.480751514;20.419153214;113;110;121;0.195615;0.868644
-7.661247730;-8.114939690;16.138116837;172;172;200;0.437408;0.970339
-12.277518272;1.049447536;9.337953568;81;86;64;0.195615;0.796610
-10.024797440;-0.730767608;14.549675941;102;116;179;0.276641;0.872881
-8.249417305;5.241674423;19.287137985;86;86;88;0.829923;0.923729
-8.945301056;-4.029110909;18.663709641;148;143;165;0.586844;0.940678
-8.344491005;-6.287200928;11.471103668;159;165;189;0.437408;0.830508
-12.870419502;-3.961277008;17.733499527;175;166;193;0.437408;0.949153
-10.965904236;2.088854551;9.120365143;102;98;95;0.195615;0.843220
-12.898856163;-3.356174469;20.734075546;178;176;200;0.705299;0.911017
-17.015338898;-0.651206970;11.370816231;125;126;144;0.437408;0.906780
-9.594586372;-9.347474098;11.754561424;142;151;180;0.479156;0.830508
-7.857323647;0.968792915;19.508211136;94;92;131;0.195615;0.847458
0.928468347;-6.404765129;17.013637543;126;128;151;1.383205;0.927966
-0.195438504;-5.076845169;16.244562149;70;70;80;0.195615;0.902542
-12.685333252;3.540406942;14.389386177;67;76;131;0.276641;0.771186
-3.319087029;3.602709532;11.276442528;158;143;176;0.437408;0.847458
-1.746993542;-1.216654658;15.113995552;105;106;136;0.195615;0.881356
-3.848550320;3.035580158;12.061980247;57;53;54;0.195615;0.919492
-7.964601994;0.976009369;14.423168182;110;128;168;0.391230;0.847458
-5.887264729;0.640618205;14.985363007;94;102;89;0.705299;0.851695
-14.444420815;2.318549633;10.620141983;41;44;37;0.276641;0.847458
-16.055606842;-0.973281860;15.718032837;4;4;4;0.586844;0.915254
-0.457295269;-5.150968552;18.978475571;55;59;86;0.705299;0.923729
-7.360100269;-0.263332129;21.046857834;105;91;140;0.586844;0.885593
-5.262646675;1.956649780;16.039720535;71;66;70;0.195615;0.805085
