//X;Y;Z;Illuminance (PCV)
-2.721499920;2.336199999;3.816600084;1
-4.649600029;6.691800117;3.001800060;1
-2.272599936;1.469499946;4.331900120;1
-2.335700035;1.762799978;4.316500187;1
-0.685000002;-0.342000008;2.901999950;1
-2.871299982;2.675699949;3.648999929;1
-0.509999990;0.490999997;2.716000080;1
-2.921600103;2.564100027;3.594199896;1
-3.705699921;5.246699810;4.826799870;1
-3.972700119;5.535500050;4.014699936;1
-2.111399889;1.273699999;4.578400135;1
0.992999971;3.578999996;5.436999798;1
-4.331999779;4.781400204;6.780799866;1
-2.497800112;2.679699898;3.763000011;1
-2.396300077;1.680600047;4.548600197;1
-0.679000020;0.405000001;2.736999989;1
-1.281000018;4.859000206;3.194000006;1
-2.820400000;2.323699951;3.930000067;1
-3.276400089;1.512500048;4.365399837;1
-3.319400072;2.877199888;4.722400188;1
-3.730400085;4.722400188;3.857800007;1
-1.000000000;-0.225999996;2.805000067;1
-0.777000010;2.603899956;4.199999809;1
-3.942300081;2.426100016;7.421000004;1
-2.837800026;5.628699780;3.419699907;1
-3.138400078;2.459500074;4.635300159;1
-3.700000048;2.642199993;4.110000134;1
-2.946700096;3.823699951;8.257100105;1
-0.361000001;0.300000012;3.293999910;1
-1.879899979;3.141400099;7.339200020;1
-3.741899967;2.453999996;7.760399818;1
-3.698899984;3.070499897;4.236999989;1
-2.976200104;4.437500000;4.837699890;1
-3.974900007;5.580200195;4.109300137;1
-3.589200020;2.843100071;4.128900051;1
-0.500999987;0.046000000;3.007999897;1
-0.078199998;6.051099777;7.170899868;1
0.252000004;-0.196999997;2.618999958;1
-2.733900070;5.770299911;3.355900049;1
-3.673700094;5.287499905;3.330600023;1
-4.466300011;4.193299770;7.126999855;1
-3.474600077;2.150300026;4.703100204;1
-0.389099985;0.480699986;2.956399918;1
0.626299977;1.660400033;2.983000040;1
-4.236999989;6.544000149;3.463999987;1
-2.198699951;6.021699905;3.530499935;1
-2.489799976;1.736199975;4.434400082;1
-1.141999960;-0.246000007;2.835999966;1
-2.436000109;5.564000130;2.976000071;1
-2.582000017;2.338000059;3.924000025;1
-4.277100086;6.318999767;4.250199795;1
-3.304399967;2.428999901;4.816899776;1
-3.898400068;7.233300209;3.307600021;1
-0.676800013;2.515199900;4.260000229;1
-1.649000049;5.861999989;7.373000145;1
-0.328999996;0.483000010;3.276999950;1
-1.128700018;3.045200109;7.382500172;1
-2.692300081;2.145600080;5.161399841;1
-4.059100151;7.054900169;3.107300043;1
