//X;Y;Z;Illuminance (PCV)
6.238299847;-16.855199814;9.291999817;1
5.899600029;-16.624300003;8.722800255;1
5.500800133;-16.776399612;7.613699913;1
5.263299942;-16.680200577;7.834099770;1
5.700799942;-17.079500198;8.058899879;1
5.706099987;-16.932100296;8.385399818;1
4.800300121;-17.410699844;7.765799999;1
5.779099941;-16.728200912;8.468299866;1
6.049799919;-16.344400406;8.882599831;1
5.368199825;-16.497600555;8.052499771;1
6.496300220;-16.558599472;9.479900360;1
6.523099899;-16.403400421;9.608799934;1
5.549200058;-17.369199753;8.716600418;1
5.904099941;-16.962499619;9.507399559;1
5.964300156;-15.498100281;8.595100403;1
5.163199902;-16.866399765;8.396200180;1
5.723700047;-17.259199142;8.389200211;1
5.750599861;-16.871900558;9.160499573;1
5.501399994;-16.963800430;9.007399559;1
5.544099808;-15.709600449;7.789100170;1
5.770599842;-15.507800102;7.790999889;1
5.585700035;-16.678199768;8.475700378;1
5.100999832;-17.251499176;8.558899879;1
5.550499916;-16.844600677;8.095600128;1
5.484499931;-15.727600098;7.980599880;1
4.759399891;-16.953399658;7.610400200;1
4.790400028;-17.415500641;7.893099785;1
5.090600014;-17.180700302;8.052800179;1
6.165500164;-15.571200371;8.738800049;1
5.860199928;-16.455900192;9.177499771;1
5.066599846;-17.053600311;7.977300167;1
6.032199860;-16.406799316;9.008399963;1
5.119299889;-16.907400131;7.894899845;1
6.414800167;-16.415100098;9.401700020;1
5.122700214;-17.013500214;8.425100327;1
6.192100048;-16.302499771;8.763299942;1
5.209400177;-17.025999069;8.574199677;1
6.116700172;-16.687000275;9.545999527;1
6.339700222;-15.807600021;8.103799820;1
5.813300133;-15.519200325;7.639200211;1
5.953599930;-16.523300171;8.923299789;1
5.991700172;-16.620500565;8.604999542;1
5.107299805;-16.796400070;8.698300362;1
6.855999947;-16.532199860;9.170299530;1
6.730599880;-16.478500366;9.640199661;1
5.861299992;-16.725500107;9.071299553;1
5.456299782;-15.545000076;8.021900177;1
5.543200016;-16.462999344;8.138099670;1
5.546299934;-15.555500031;7.701499939;1
5.881700039;-16.895799637;9.088700294;1
6.020199776;-16.803499222;9.599599838;1
5.755099773;-16.905899048;8.983200073;1
5.332499981;-16.556100845;8.217000008;1
6.139800072;-15.694999695;8.699899673;1
5.272500038;-17.357400894;8.920800209;1
5.134600163;-17.060400009;8.337300301;1
6.336299896;-16.128499985;8.582799911;1
5.008699894;-16.994699478;7.827700138;1
5.410500050;-16.849100113;8.225899696;1
5.939700127;-16.810199738;8.217599869;1
6.760900021;-16.433300018;9.140099525;1
6.085599899;-16.296199799;9.205200195;1
5.190700054;-17.161100388;8.115400314;1
5.830100060;-16.625900269;8.127400398;1
5.169600010;-17.339399338;8.635199547;1
5.344799995;-16.742500305;7.584499836;1
5.296000004;-16.909000397;8.306699753;1
4.606100082;-17.020200729;7.709300041;1
5.789599895;-16.815099716;7.836800098;1
5.938199997;-16.372200012;8.801199913;1
6.206200123;-16.561800003;9.631999969;1
5.621200085;-16.987499237;8.349399567;1
4.990699768;-17.080400467;8.121000290;1
5.793300152;-16.981100082;9.187000275;1
5.942900181;-16.611600876;9.273400307;1
5.939700127;-16.883300781;9.196299553;1
5.970600128;-16.752799988;9.246299744;1
5.523799896;-16.994600296;8.318099976;1
5.878900051;-16.730300903;9.496000290;1
5.523499966;-15.751299858;7.614299774;1
6.675399780;-16.386999130;9.578599930;1
6.239299774;-16.388999939;8.976499557;1
5.282199860;-16.458499908;7.982200146;1
5.738699913;-16.586900711;8.224499702;1
5.250500202;-17.432699203;8.600899696;1
6.204899788;-15.578700066;8.870499611;1
6.490699768;-16.038999557;8.578700066;1
