//X;Y;Z;Scalar field;C2C absolute distances;Illuminance (PCV)
-29.517900467;41.673801422;13.334699631;494.000000;1.522970;0.860169
-29.613300323;41.675899506;13.517100334;494.000000;1.557521;0.851695
-29.594800949;41.841598511;13.471199989;494.000000;1.440403;0.822034
-27.832799911;36.468101501;16.183599472;494.000000;3.162204;0.944915
-27.755800247;36.645900726;16.202100754;494.000000;3.096486;0.961864
-27.878900528;36.247001648;16.243200302;494.000000;3.329021;0.966102
-29.414300919;43.344699860;11.767800331;494.000000;0.742006;0.724576
-29.012399673;43.244800568;10.719200134;494.000000;0.590704;0.737288
-28.179599762;44.142398834;11.778300285;494.000000;0.888244;0.800847
-28.025600433;44.833000183;11.446399689;494.000000;1.099305;0.860169
-33.427799225;40.500499725;15.020400047;494.000000;1.526373;0.881356
-24.663000107;39.256999969;13.730400085;494.000000;0.720915;0.868644
-24.905300140;38.499401093;14.886799812;494.000000;1.288486;0.894068
-27.916200638;35.695701599;16.270299911;494.000000;3.367415;0.953390
-34.275600433;40.979499817;14.880399704;494.000000;1.732607;0.923729
-26.869100571;42.759201050;12.012299538;494.000000;0.527599;0.775424
-25.334699631;42.173099518;11.045900345;494.000000;0.251218;0.817797
-24.875000000;42.648899078;12.728099823;494.000000;0.556809;0.796610
-25.735799789;43.152801514;11.640999794;494.000000;0.500051;0.805085
-24.664199829;42.050098419;11.550999641;494.000000;0.736436;0.754237
-26.931400299;42.485198975;12.094099998;494.000000;0.648526;0.783898
-24.518699646;42.299900055;11.578900337;494.000000;0.676781;0.783898
-33.887901306;39.391700745;14.506600380;494.000000;2.229372;0.889831
-23.590400696;41.367000580;11.619799614;494.000000;0.184155;0.817797
-22.882200241;40.702701569;10.846199989;494.000000;0.753633;0.741525
-22.896699905;41.924098969;12.233200073;494.000000;0.633499;0.822034
-24.399599075;42.030300140;11.700300217;494.000000;0.851940;0.792373
-25.509500504;45.223701477;10.644599915;494.000000;1.076083;0.758475
-25.034000397;44.976100922;9.420700073;494.000000;0.188032;0.733051
-25.193000793;44.537601471;10.003600121;494.000000;0.824601;0.800847
-29.583700180;38.023700714;14.631299973;494.000000;0.740235;0.868644
-25.761999130;44.204601288;8.880599976;494.000000;0.446644;0.661017
-26.298900604;44.180198669;9.113900185;494.000000;0.280851;0.707627
-26.633800507;45.514099121;10.537799835;494.000000;0.729139;0.690678
-25.628700256;44.490600586;8.847399712;494.000000;0.269951;0.661017
-25.507499695;44.408100128;9.359100342;494.000000;0.680187;0.682203
-25.529100418;44.571300507;8.807000160;494.000000;0.237290;0.661017
-25.731500626;44.365001678;8.889900208;494.000000;0.380196;0.741525
-25.883300781;44.761398315;9.696200371;494.000000;0.239963;0.652542
-26.534200668;45.822200775;10.129300117;494.000000;0.869571;0.792373
-24.453800201;41.853698730;11.730500221;494.000000;0.903518;0.771186
-24.841899872;41.473201752;12.111399651;494.000000;0.725405;0.851695
-24.538299561;40.157798767;12.383099556;494.000000;0.497711;0.830508
-29.599500656;42.001800537;11.998000145;494.000000;0.747386;0.822034
-30.127899170;41.401500702;11.765600204;494.000000;0.958159;0.800847
-30.155000687;42.097198486;12.011199951;494.000000;0.346549;0.779661
-29.721300125;41.620399475;10.660900116;494.000000;0.488624;0.783898
-30.480199814;41.260299683;12.598099709;494.000000;0.636450;0.851695
-29.599399567;42.003101349;12.143500328;494.000000;0.779872;0.800847
-29.778299332;41.853099823;11.909899712;494.000000;0.693195;0.779661
-29.674800873;42.455699921;11.308300018;494.000000;0.161148;0.822034
-29.799499512;41.789600372;11.826000214;494.000000;0.676106;0.771186
-29.822200775;41.312900543;10.844799995;494.000000;0.847288;0.800847
-29.687299728;42.702301025;11.105699539;494.000000;0.193139;0.762712
-29.663400650;42.874198914;11.078399658;494.000000;0.358978;0.779661
-28.502899170;46.194900513;8.893099785;494.000000;0.704580;0.694915
-28.423999786;45.936298370;9.222800255;494.000000;0.980029;0.813559
-28.850599289;46.223701477;9.535300255;494.000000;1.283895;0.885593
-28.951299667;43.436100006;10.679100037;494.000000;0.429454;0.750000
-29.861499786;44.317001343;10.693300247;494.000000;0.770034;0.838983
-29.245399475;43.842399597;9.446800232;494.000000;0.332108;0.754237
-27.862300873;44.184898376;8.673100471;494.000000;0.803424;0.745763
-24.084600449;43.477100372;9.985400200;494.000000;0.789904;0.800847
-24.386199951;43.750000000;9.289400101;494.000000;0.924949;0.728814
-26.331100464;42.198600769;9.488200188;494.000000;0.134836;0.750000
-26.882699966;43.233501434;9.230299950;494.000000;0.882138;0.720339
-25.763900757;43.806900024;9.608300209;494.000000;0.911470;0.656780
-26.471500397;42.972198486;9.519599915;494.000000;0.534004;0.766949
-24.972400665;43.247600555;9.700599670;494.000000;0.182052;0.720339
-26.767000198;43.486198425;9.169500351;494.000000;0.807942;0.648305
-25.972200394;43.343200684;10.321700096;494.000000;0.479510;0.783898
-25.207700729;43.419799805;10.029100418;494.000000;0.370062;0.741525
-24.889099121;42.901599884;10.283300400;494.000000;0.390163;0.741525
-26.475599289;42.706298828;9.769700050;494.000000;0.235557;0.762712
