//X;Y;Z;Scalar field;Approx. distances;Illuminance (PCV)
-1.109099984;-11.041799545;9.839300156;589.000000;0.271786;0.885593
-0.379000008;-11.346300125;9.737299919;589.000000;0.192182;0.885593
-0.720200002;-13.264100075;10.702400208;589.000000;0.332869;0.860169
-1.220199943;-11.821499825;9.839099884;589.000000;0.450707;0.843220
-1.676900029;-12.344300270;9.074299812;589.000000;0.450707;0.906780
-1.530599952;-11.054100037;9.832699776;589.000000;0.235374;0.898305
-0.487399995;-12.908499718;10.593799591;589.000000;0.508466;0.843220
-1.110599995;-12.263199806;10.922100067;589.000000;0.303866;0.868644
-1.446300030;-12.359399796;9.483499527;589.000000;0.192182;0.889831
-0.930599988;-12.858300209;10.021800041;589.000000;0.271786;0.894068
-0.637899995;-10.826399803;9.363100052;589.000000;0.303866;0.805085
-1.565099955;-11.687999725;9.105500221;589.000000;0.192182;0.889831
-1.246399999;-11.190099716;9.800299644;589.000000;0.192182;0.813559
-1.588700056;-11.803500175;9.533100128;589.000000;0.303866;0.894068
-0.719299972;-12.931900024;10.901399612;589.000000;0.450707;0.902542
-0.722599983;-11.318599701;9.870300293;589.000000;0.429732;0.906780
-1.052600026;-10.875399590;10.107999802;589.000000;0.303866;0.923729
-0.727999985;-12.913900375;10.464099884;589.000000;0.192182;0.838983
-1.548699975;-10.870599747;9.939399719;589.000000;0.303866;0.877119
0.045200001;-11.313400269;9.637399673;589.000000;0.192182;0.902542
-1.071400046;-12.327300072;11.007300377;589.000000;0.384364;0.898305
-0.837700009;-11.653699875;9.578399658;589.000000;0.384364;0.851695
-1.627200007;-12.432999611;9.107500076;589.000000;0.429732;0.860169
-1.685500026;-10.564999580;9.715399742;589.000000;0.407679;0.838983
-0.687600017;-11.282199860;9.734199524;589.000000;0.303866;0.868644
-0.830999970;-11.401100159;9.668399811;589.000000;0.192182;0.775424
-0.402900010;-12.869299889;10.499199867;589.000000;0.508466;0.868644
-0.628899992;-13.116900444;10.791500092;589.000000;0.384364;0.843220
-1.105499983;-12.251600266;9.718700409;589.000000;0.235374;0.851695
-1.340999961;-12.384400368;9.007699966;589.000000;0.303866;0.906780
-0.817600012;-12.729200363;10.988200188;589.000000;0.407679;0.889831
-1.240800023;-12.192199707;9.870499611;589.000000;0.303866;0.902542
-0.613799989;-12.944600105;11.010399818;589.000000;0.622741;0.940678
-1.656100035;-10.918299675;9.898900032;589.000000;0.332869;0.923729
-0.479900002;-13.024800301;9.842399597;589.000000;0.303866;0.894068
-0.585500002;-12.027899742;9.766300201;589.000000;0.332869;0.898305
-1.234799981;-11.126000404;10.020199776;589.000000;0.235374;0.830508
-1.020699978;-11.086400032;9.798999786;589.000000;0.271786;0.813559
-1.246500015;-11.706299782;9.954600334;589.000000;0.508466;0.860169
-1.430299997;-10.920399666;9.940099716;589.000000;0.303866;0.855932
-1.128399968;-11.787199974;10.142999649;589.000000;0.508466;0.919492
-0.283499986;-11.625100136;9.898099899;589.000000;0.429732;0.927966
-1.452399969;-12.780099869;10.991299629;589.000000;0.429732;0.881356
-0.739400029;-12.787899971;10.611900330;589.000000;0.332869;0.817797
-0.608600020;-13.169099808;10.136899948;589.000000;0.192182;0.860169
-0.497599989;-13.064999580;10.577099800;589.000000;0.332869;0.847458
-1.679700017;-11.712400436;9.188400269;589.000000;0.271786;0.894068
-0.683799982;-12.689599991;10.901900291;589.000000;0.450707;0.898305
-0.804600000;-12.975500107;10.698100090;589.000000;0.332869;0.830508
-1.344900012;-12.540200233;8.944299698;589.000000;0.303866;0.860169
-1.420400023;-12.562199593;8.785300255;589.000000;0.489970;0.885593
-0.822899997;-12.518699646;10.925999641;589.000000;0.303866;0.902542
-1.618600011;-11.322400093;10.017499924;589.000000;0.489970;0.919492
-1.124400020;-12.245499611;9.399700165;589.000000;0.192182;0.877119
