//X;Y;Z;Scalar field;C2C absolute distances;Illuminance (PCV)
-3.048399925;-9.923100471;8.484900475;1168.000000;0.899313;0.970339
-1.540500045;-9.879400253;9.028900146;1168.000000;0.536824;0.961864
-1.419600010;-8.847200394;8.333100319;1168.000000;0.495748;0.970339
-3.014199972;-10.107999802;8.522399902;1168.000000;1.034136;0.987288
-1.907600045;-9.842800140;8.958299637;1168.000000;0.287001;0.983051
-2.261300087;-9.507699966;9.382599831;1168.000000;0.564307;0.974576
-1.049100041;-9.752599716;8.645000458;1168.000000;0.279229;0.961864
-1.924299955;-9.584400177;9.501999855;1168.000000;0.687594;0.983051
-0.872300029;-9.696299553;8.591199875;1168.000000;0.299305;0.961864
-0.725600004;-9.911999702;8.534199715;1168.000000;0.497791;0.974576
-0.811399996;-9.573900223;8.656999588;1168.000000;0.366286;0.983051
-1.157299995;-9.817500114;9.101900101;1168.000000;0.722518;0.991525
-2.337699890;-9.889900208;8.963299751;1168.000000;0.471557;0.970339
-2.315900087;-9.445300102;9.543299675;1168.000000;0.663848;0.991525
-2.818900108;-10.052700043;8.427900314;1168.000000;0.916598;0.966102
-1.823699951;-9.113100052;9.167499542;1168.000000;0.492637;0.983051
-1.246500015;-9.628299713;8.523699760;1168.000000;0.116811;0.978814
-1.437899947;-9.972900391;8.626600266;1168.000000;0.477456;0.949153
-2.448199987;-9.941100121;8.953200340;1168.000000;0.577044;0.974576
-0.746399999;-9.498100281;8.716199875;1168.000000;0.457434;0.961864
-1.039399981;-9.942700386;8.548999786;1168.000000;0.368682;0.978814
-1.419899940;-9.805199623;8.962300301;1168.000000;0.581969;0.978814
-2.150799990;-9.765000343;9.391599655;1168.000000;0.615832;0.987288
-1.732300043;-9.387999535;9.098500252;1168.000000;0.416844;0.966102
-2.685499907;-9.664299965;8.899700165;1168.000000;0.582154;0.961864
-2.649800062;-9.664799690;9.033699989;1168.000000;0.644076;0.974576
-3.088000059;-9.962800026;8.586000443;1168.000000;0.948787;0.978814
-1.612699986;-9.081700325;8.896599770;1168.000000;0.538071;0.966102
-2.781500101;-9.954700470;8.819999695;1168.000000;0.830638;0.991525
-1.789899945;-10.033300400;8.944999695;1168.000000;0.477991;0.974576
-1.478700042;-9.704400063;8.814000130;1168.000000;0.458740;0.961864
-1.807299972;-9.784099579;9.064000130;1168.000000;0.343730;0.957627
-1.574100018;-8.918100357;8.163599968;1168.000000;0.315094;0.944915
-2.661299944;-9.786600113;8.741200447;1168.000000;0.621817;0.978814
-2.017699957;-9.839099884;9.114999771;1168.000000;0.396288;0.970339
-1.585100055;-9.081500053;8.193099976;1168.000000;0.187950;0.961864
-1.103199959;-9.533699989;8.363900185;1168.000000;0.004479;0.953390
-2.310899973;-9.875599861;9.210100174;1168.000000;0.572116;0.987288
-0.850099981;-9.528499603;8.413299561;1168.000000;0.202145;0.961864
-2.545399904;-10.231499672;8.310000420;1168.000000;0.970248;0.974576
-1.507400036;-9.925700188;9.143600464;1168.000000;0.638831;0.978814
-1.784999967;-9.594799995;9.369199753;1168.000000;0.585380;0.978814
-2.069600105;-9.286700249;9.518300056;1168.000000;0.614737;0.970339
-2.222800016;-9.384599686;9.203900337;1168.000000;0.352927;0.966102
-1.488499999;-8.846300125;8.076999664;1168.000000;0.401085;0.949153
-1.123000026;-9.687999725;8.502099991;1168.000000;0.124690;0.978814
-1.831099987;-9.375499725;9.068900108;1168.000000;0.353862;0.970339
-2.098999977;-10.186599731;9.114199638;1168.000000;0.676250;0.983051
-2.095499992;-9.963899612;9.130700111;1168.000000;0.507607;0.966102
-2.042099953;-10.100099564;9.447299957;1168.000000;0.818104;0.995763
