//X;Y;Z;Scalar field;Original cloud index;ID;C2C absolute distances;Illuminance (PCV)
4.462100029;-2.313400030;11.568699837;275.000000;0.000000;nan;0.596875;0.843220
3.555599928;-2.255399942;10.865400314;275.000000;0.000000;nan;0.670970;0.894068
4.099500179;-3.124099970;10.809900284;275.000000;0.000000;nan;0.580107;0.860169
3.973000050;-3.002799988;10.608499527;275.000000;0.000000;nan;0.540562;0.860169
4.455399990;-2.900099993;11.763699532;275.000000;0.000000;nan;0.617570;0.868644
4.206999779;-2.982800007;11.036700249;275.000000;0.000000;nan;0.485006;0.877119
4.331999779;-3.266000032;11.590200424;275.000000;0.000000;nan;0.719010;0.898305
5.317599773;-3.161799908;11.838000298;275.000000;0.000000;nan;0.701718;0.898305
3.665199995;-2.314100027;10.960700035;275.000000;0.000000;nan;0.587830;0.847458
3.723000050;-2.764899969;11.353300095;275.000000;0.000000;nan;0.809636;0.877119
3.715600014;-2.957900047;10.763400078;275.000000;0.000000;nan;0.642954;0.881356
3.722300053;-3.018100023;11.055199623;275.000000;0.000000;nan;0.750454;0.872881
5.166600227;-2.993400097;11.813799858;275.000000;0.000000;nan;0.516811;0.860169
4.791900158;-3.816600084;10.934900284;275.000000;0.000000;nan;0.767620;0.898305
3.858400106;-2.296299934;11.357099533;275.000000;0.000000;nan;0.746495;0.868644
4.669400215;-3.596100092;10.998299599;275.000000;0.000000;nan;0.573334;0.860169
4.780499935;-2.569200039;10.862199783;275.000000;0.000000;nan;0.381010;0.889831
4.335299969;-3.224200010;11.096400261;275.000000;0.000000;nan;0.561781;0.919492
4.569399834;-2.355200052;11.859600067;275.000000;0.000000;nan;0.635512;0.885593
5.067599773;-3.166800022;11.574500084;275.000000;0.000000;nan;0.465101;0.868644
5.134600163;-2.884399891;11.798199654;275.000000;0.000000;nan;0.437940;0.851695
4.030000210;-3.188699961;11.274700165;275.000000;0.000000;nan;0.828391;0.868644
3.770499945;-2.904900074;11.023400307;275.000000;0.000000;nan;0.636470;0.830508
