//X;Y;Z;R;G;B;Illuminance (PCV);Nx;Ny;Nz
-28.931840897;18.157562256;17.122900009;255;255;255;1;0.999999;0.000978;0.000978
-36.678100586;17.735534668;10.921484947;255;255;255;1;0.000000;0.000000;0.000000
-30.484027863;14.093080521;11.105566025;255;255;255;1;0.000978;0.999999;0.000978
-27.708019257;20.078456879;14.773668289;255;255;255;1;0.999999;0.000978;0.000978
-31.203128815;23.605915070;13.809956551;255;255;255;1;0.707106;0.707106;0.001384
-32.033218384;19.426500320;15.877505302;255;255;255;1;0.000000;0.000000;0.000000
-31.846393585;22.129207611;9.512451172;255;255;255;1;0.000000;0.000000;0.000000
-30.733350754;19.008741379;7.355781555;255;255;255;1;0.000000;0.000000;0.000000
-32.535751343;21.905645370;15.452672958;255;255;255;1;0.999999;0.000978;0.000978
-31.641613007;14.406814575;9.608125687;255;255;255;1;0.999999;0.000978;0.000978
-25.507270813;21.184076309;15.600697517;255;255;255;1;0.000000;0.000000;0.000000
-31.702356339;22.116083145;12.458373070;255;255;255;1;0.000000;0.000000;0.000000
-28.149612427;18.785570145;12.345028877;255;255;255;1;0.000000;0.000000;0.000000
-33.493446350;21.597415924;14.790890694;255;255;255;1;0.999999;0.000978;0.000978
-25.288818359;18.297445297;14.612139702;255;255;255;1;0.000000;0.000000;0.000000
-27.877645493;17.973464966;18.603141785;255;255;255;1;0.894688;0.446689;0.001310
-23.135076523;17.295366287;14.881452560;255;255;255;1;0.999999;0.000978;0.000978
-33.600482941;21.807704926;16.089168549;255;255;255;1;0.999999;0.000978;0.000978
-32.723709106;14.635731697;12.497440338;255;255;255;1;0.000978;0.999999;0.000978
-23.019674301;17.534498215;15.365028381;255;255;255;1;0.707106;0.707106;0.001384
-35.027267456;14.747071266;11.924010277;255;255;255;1;0.000978;0.999999;0.000978
-29.963115692;19.243499756;12.742010117;255;255;255;1;0.000000;0.000000;0.000000
-34.517368317;20.089632034;14.625810623;255;255;255;1;0.999999;0.000978;0.000978
-31.094945908;20.551626205;9.217041016;255;255;255;1;0.000000;0.000000;0.000000
-27.655361176;20.996698380;9.904154778;255;255;255;1;0.000978;0.999999;0.000978
-34.926399231;17.626754761;14.883662224;255;255;255;1;0.000978;0.999999;0.000978
-30.260932922;20.206981659;16.198938370;255;255;255;1;0.999999;0.000978;0.000978
-27.927536011;19.437364578;14.453047752;255;255;255;1;0.000000;0.000000;0.000000
-35.795566559;19.117523193;12.358364105;255;255;255;1;0.000000;0.000000;0.000000
-33.601570129;22.849105835;17.008209229;255;255;255;1;0.999999;0.000978;0.000978
-37.874729156;19.816482544;13.169925690;255;255;255;1;0.000978;0.999999;0.000978
-31.176662445;24.348943710;13.438050270;255;255;255;1;0.000000;0.000000;0.000000
-30.175983429;22.231676102;15.030774117;255;255;255;1;0.999999;0.000978;0.000978
-31.430881500;18.698503494;8.521976471;255;255;255;1;0.000000;0.000000;0.000000
-34.083766937;18.428369522;10.568823814;255;255;255;1;0.000000;0.000000;0.000000
-31.737682343;24.071374893;13.006272316;255;255;255;1;0.000000;0.000000;0.000000
-34.447052002;15.106479645;10.927984238;255;255;255;1;0.000978;0.999999;0.000978
-27.245456696;18.180812836;12.589660645;255;255;255;1;0.000000;0.000000;0.000000
-32.685646057;20.868600845;13.684405327;255;255;255;1;0.000000;0.000000;0.000000
-33.463813782;16.364654541;10.456925392;255;255;255;1;0.000978;0.999999;0.000978
-26.328029633;21.693712234;14.980150223;255;255;255;1;0.000000;0.000000;0.000000
-26.789825439;23.871206284;10.151960373;255;255;255;1;0.000978;0.999999;0.000978
-33.516483307;14.761378288;11.345372200;255;255;255;1;0.000978;0.999999;0.000978
-25.035154343;20.216056824;13.193213463;255;255;255;1;0.000000;0.000000;0.000000
-32.819023132;21.735071182;17.437866211;255;255;255;1;0.707106;0.707106;0.001384
-34.335052490;18.463710785;10.837896347;255;255;255;1;0.999999;0.000978;0.000978
-37.537700653;18.425045013;9.940343857;255;255;255;1;0.000000;0.000000;0.000000
-29.899171829;17.106460571;17.519346237;255;255;255;1;0.999999;0.000978;0.000978
-32.809875488;19.036203384;12.377967834;255;255;255;1;0.999999;0.000978;0.000978
-31.061367035;16.383308411;7.581995964;255;255;255;1;0.000978;0.999999;0.000978
-25.419153214;18.790184021;14.253537178;255;255;255;1;0.000000;0.000000;0.000000
-26.026153564;21.016485214;16.091957092;255;255;255;1;0.999999;0.000978;0.000978
-27.134246826;20.126998901;15.175085068;255;255;255;1;0.000978;0.999999;0.000978
-35.161342621;19.222248077;12.356509209;255;255;255;1;0.000000;0.000000;0.000000
-25.864995956;21.984611511;10.615419388;255;255;255;1;0.000978;0.999999;0.000978
-32.911945343;22.469900131;16.181390762;255;255;255;1;0.000000;0.000000;0.000000
-26.862766266;22.715398788;10.497330666;255;255;255;1;0.000978;0.999999;0.000978
-30.813409805;20.951911926;8.316665649;255;255;255;1;0.000000;0.000000;0.000000
-26.933931351;18.599067688;9.934593201;255;255;255;1;0.999999;0.000978;0.000978
-30.147930145;16.605419159;16.151821136;255;255;255;1;0.999999;0.000978;0.000978
-37.025466919;16.802597046;10.355316162;255;255;255;1;0.000978;0.999999;0.000978
-27.885665894;15.757114410;11.269004822;255;255;255;1;0.000000;0.000000;0.000000
-27.621440887;18.897901535;9.930283546;255;255;255;1;0.000000;0.000000;0.000000
-31.848632813;25.002294540;14.789553642;255;255;255;1;0.000978;0.999999;0.000978
-35.942241669;16.246738434;9.456911087;255;255;255;1;0.000000;0.000000;0.000000
-30.703145981;22.903118134;9.278675079;255;255;255;1;0.999999;0.000978;0.000978
-29.858394623;16.834943771;17.943515778;255;255;255;1;0.894688;0.446689;0.001310
-27.809455872;15.232538223;10.726851463;255;255;255;1;0.000000;0.000000;0.000000
-34.088188171;13.321907043;10.837135315;255;255;255;1;0.000978;0.999999;0.000978
