//X;Y;Z;Scalar field;C2C absolute distances;Illuminance (PCV)
-30.263900757;14.652000427;6.322599888;208.000000;0.792097;0.889831
-28.972299576;15.547400475;7.515799999;208.000000;0.508204;0.864407
-28.892299652;15.156800270;7.372000217;208.000000;0.367965;0.906780
-28.216299057;21.280899048;4.245999813;208.000000;0.573371;0.906780
-29.087200165;14.917499542;7.484700203;208.000000;0.590324;0.902542
-30.221599579;15.235799789;5.434599876;208.000000;0.872390;0.906780
-29.184000015;15.737400055;7.538499832;208.000000;0.592025;0.906780
-30.026100159;16.558700562;7.611100197;208.000000;0.893958;0.898305
-29.309900284;15.269300461;6.376999855;208.000000;0.445339;0.902542
-30.306400299;14.821100235;6.745699883;208.000000;0.988695;0.957627
-29.685100555;14.485500336;6.178999901;208.000000;0.342064;0.898305
-30.009899139;15.484000206;5.493700027;208.000000;0.730779;0.868644
-29.102899551;16.173900604;6.484399796;208.000000;0.532511;0.902542
-27.885200500;19.742099762;3.943599939;208.000000;0.235396;0.855932
-27.910800934;20.506299973;4.270199776;208.000000;0.136941;0.881356
-29.084999084;15.317500114;6.378499985;208.000000;0.389177;0.911017
-30.055500031;18.571599960;7.081299782;208.000000;0.413103;0.885593
-29.290199280;15.352800369;7.351600170;208.000000;0.480125;0.898305
-29.638399124;16.565700531;9.057100296;208.000000;1.252613;0.966102
-30.403600693;15.848099709;5.497799873;208.000000;0.968326;0.911017
-29.114500046;15.285900116;6.248899937;208.000000;0.335949;0.894068
-29.422300339;14.779899597;6.850500107;208.000000;0.644895;0.902542
-29.858400345;14.444800377;6.471000195;208.000000;0.570074;0.919492
-28.829399109;16.101699829;6.060699940;208.000000;0.387079;0.860169
-29.953699112;15.804499626;5.430200100;208.000000;0.573977;0.872881
-29.646400452;14.495499611;6.715600014;208.000000;0.568416;0.885593
-29.834899902;16.621500015;7.447899818;208.000000;0.727378;0.902542
-30.237499237;15.185099602;5.897900105;208.000000;0.641991;0.855932
-28.745500565;18.931999207;6.744599819;208.000000;0.388664;0.894068
-30.006799698;16.723300934;5.973299980;208.000000;0.435328;0.927966
-30.164400101;14.496899605;6.850999832;208.000000;1.018712;0.944915
-29.193500519;15.000699997;7.553599834;208.000000;0.649510;0.932203
-24.797199249;19.996099472;3.703999996;208.000000;0.356794;0.851695
-29.436399460;14.680000305;7.250899792;208.000000;0.789925;0.919492
-29.102699280;15.968099594;5.393899918;208.000000;0.514228;0.936441
-29.663400650;14.538700104;6.294600010;208.000000;0.312441;0.902542
-30.223699570;16.483400345;7.296299934;208.000000;0.824536;0.949153
-30.081300735;15.461899757;5.426499844;208.000000;0.754674;0.889831
-28.962600708;16.204500198;5.592800140;208.000000;0.574993;0.906780
-29.411199570;14.741499901;6.723499775;208.000000;0.511831;0.877119
-29.186800003;14.817500114;6.339900017;208.000000;0.150358;0.872881
-27.501199722;15.234600067;5.114600182;208.000000;0.544457;0.885593
-30.277399063;14.546199799;6.487100124;208.000000;0.923096;0.906780
-29.394599915;14.711799622;7.341400146;208.000000;0.774925;0.911017
-30.294900894;14.652500153;6.500000000;208.000000;0.889716;0.940678
-29.357000351;14.750300407;6.628900051;208.000000;0.420865;0.881356
-29.086999893;15.443400383;7.059199810;208.000000;0.127148;0.894068
-28.432699203;14.951800346;7.496699810;208.000000;0.725034;0.902542
-28.840599060;15.120800018;7.620500088;208.000000;0.619603;0.940678
-30.231800079;15.037899971;6.556300163;208.000000;0.778700;0.902542
-28.079500198;20.532100677;4.431499958;208.000000;0.329548;0.919492
-30.093500137;15.393600464;5.672800064;208.000000;0.694227;0.889831
-28.894399643;14.958999634;6.976500034;208.000000;0.268691;0.889831
-25.357099533;14.648900032;6.485899925;208.000000;0.634113;0.885593
-29.614400864;14.974399567;7.241000175;208.000000;0.775739;0.932203
-28.810899734;14.802599907;7.372099876;208.000000;0.566165;0.889831
-29.150100708;15.652400017;7.016300201;208.000000;0.160478;0.894068
-30.218099594;15.226099968;5.716599941;208.000000;0.702598;0.898305
-29.694299698;16.190700531;5.411499977;208.000000;0.546570;0.911017
-26.113199234;21.842899323;5.277500153;208.000000;0.307765;0.911017
-29.292400360;15.971699715;5.431900024;208.000000;0.444114;0.927966
-29.323400497;14.822400093;6.986400127;208.000000;0.571977;0.923729
-29.850599289;14.582900047;6.897500038;208.000000;0.826666;0.949153
-29.243299484;14.964099884;7.262199879;208.000000;0.487519;0.906780
-29.278299332;14.725500107;7.362199783;208.000000;0.709502;0.906780
-27.215499878;19.598800659;4.349899769;208.000000;0.523481;0.889831
-29.255899429;14.884099960;7.470499992;208.000000;0.665268;0.902542
